Event	ID	Name			Wwise Object Path	Notes
	2841926335	Play_monster_ambience			\Default Work Unit\Play_monster_ambience	
	3220761187	Play_monster_voice			\Default Work Unit\Play_monster_voice	
	4113655641	Play_monster_footsteps_trigger			\Default Work Unit\Play_monster_footsteps_trigger	

State Group	ID	Name			Wwise Object Path	Notes
	2170747458	is_watched			\Default Work Unit\is_watched	
	2535049496	is_close			\Default Work Unit\is_close	

State	ID	Name	State Group			Notes
	748895195	None	is_watched			
	2452206122	false	is_watched			
	3053630529	true	is_watched			
	748895195	None	is_close			
	2452206122	false	is_close			
	3053630529	true	is_close			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	74286991	Silence	Wwise Silence		\Containers\Default Work Unit\monster_sounds\monster_ambience\delay\Silence	
	397878131	Silence	Wwise Silence		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\fast\delay\Silence	
	547050338	Silence	Wwise Silence		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\slow\delay\Silence	
	959834222	Silence	Wwise Silence		\Containers\Default Work Unit\monster_sounds\monster_footsteps_trigger\delay\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4584551	fx_monster_amb_scratching_02	.cache\8B\{8B52C226-5244-A3EF-526A-7114EA61F21C}.wem		\Containers\Default Work Unit\monster_sounds\monster_ambience\randomizer\fx_monster_amb_scratching_02		544208
	13650685	fx_monster_speech_jonathanExample_03	.cache\4D\{4DD234BC-932E-A7DA-7215-3E66396E448B}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speech\fx_monster_speech_jonathanExample_03		873212
	26753217	fx_monster_amb_scratching_01	.cache\4A\{4A6AAA73-3846-B11F-0658-6D3EBC51C174}.wem		\Containers\Default Work Unit\monster_sounds\monster_ambience\randomizer\fx_monster_amb_scratching_01		425928
	118772610	fx_monster_breathing_fast	.cache\A6\{A6C4CC0D-65F0-38C7-F0CF-B9D4B3D43BE4}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\fast\inhale_fast\fx_monster_breathing_fast		76704
	121174981	fx_monster_breathing_fast_03	.cache\9C\{9C251A90-4ED8-3A9B-F460-C1D6EEF208BE}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\fast\inhale_fast\fx_monster_breathing_fast_03		68452
	122171618	fx_monster_amb_bookshelves_02	.cache\B8\{B87B16AB-2AB9-470C-727E-80F99FBF7A5D}.wem		\Containers\Default Work Unit\monster_sounds\monster_ambience\randomizer\fx_monster_amb_bookshelves_02		280740
	124018109	fx_monster_speech_clip_07	.cache\7D\{7DB89153-1764-FBA5-423C-8934894D7EEC}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speech\fx_monster_speech_clip_07		845168
	133880655	fx_monster_breathing_slow_02	.cache\20\{20BC5C05-B443-EF3A-423D-FF081F0429DE}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\slow\inhale_slow\fx_monster_breathing_slow_02		311756
	152779598	fx_monster_breathing_fast_02	.cache\B3\{B38D371C-1E54-6CC5-52EF-6BBA4A387F3D}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\fast\exhale_fast\fx_monster_breathing_fast_02		69632
	207127875	fx_monster_breathing_slow	.cache\11\{11DCD83B-E926-DB75-54DA-8E5C86E9F17A}.wem		\Containers\Default Work Unit\monster_sounds\monster_voice\speedDiff\slow\inhale_slow\fx_monster_breathing_slow		277400
